DMS_name,DMS_on,antigen_name,n,spearman,roc_auc_top_5pct_high_score
Ang2_2017_G6,antibody,,471,0.6264588830380471,0.7723247576435496
COVID-19_2021a_AZD1061,antigen,,395,0.46469442167632596,0.8703333333333333
COVID-19_2021a_AZD8895,antigen,,345,0.42053853190005946,0.9800373768263675
COVID-19_2021c_C002,antigen,,578,0.525324581457693,0.8692921298913384
COVID-19_2021c_C105,antigen,,430,0.4118609437313313,0.883578431372549
COVID-19_2021c_C110,antigen,,345,0.2970386182176986,0.646109412164458
COVID-19_2021c_C135,antigen,,220,0.4483456667296441,0.7290126141800783
COVID-19_2021c_C144,antigen,,554,0.4551386482027752,0.9148560564910375
COVID-19_2021c_CR3022,antigen,,456,0.36754944636017683,0.8578672557485691
COVID-19_2021c_LY-CoV016,antigen,,510,0.6081701337092128,0.874920534011443
COVID-19_2021c_LY-CoV555,antigen,,431,0.5591253717585396,0.9047566125805736
COVID-19_2021c_REGN10933,antigen,,385,0.6179012210012788,0.9526027397260274
COVID-19_2021c_REGN10987,antigen,,265,0.8051092433219402,0.8840352874217416
COVID-19_2021d_S2D106,antigen,,470,0.39437420701341896,0.9125093423019432
COVID-19_2021d_S2E12,antigen,,341,0.6599154743021297,0.9262125902992776
COVID-19_2021d_S2H13,antigen,,338,0.507497618152218,0.9124060839288987
COVID-19_2021d_S2H14,antigen,,476,0.5020604408594176,0.803327802359882
COVID-19_2021d_S2H97,antigen,,322,0.5004005956645848,0.8373191899710705
COVID-19_2021d_S2X259,antigen,,430,0.39283112459086744,0.9304255793226381
COVID-19_2021d_S2X35,antigen,,394,0.5285232262337604,0.9504679144385028
COVID-19_2021d_S304,antigen,,389,0.36894237211354014,0.9508130081300813
COVID-19_2021d_S309,antigen,,315,0.42105338495943695,0.9740802675585284
COVID-19_2022_BD55-5840,antigen,,88,0.2796237409535204,0.8313253012048194
COVID-19_2022_C119,antigen,,191,0.2404367496719507,0.3651933701657458
COVID-19_2022_C121,antigen,,353,0.49632005474083635,0.8025704809286899
COVID-19_2022_COV2-2130,antigen,,418,0.6453758533801044,0.9400863620007197
COVID-19_2022_COV2-2196,antigen,,343,0.30278317118262127,0.9398290598290598
COVID-19_2022_COVA2-04,antigen,,183,0.5193793101771199,0.849421965317919
COVID-19_2022_LY-CoV1404,antigen,,112,0.2695410196987453,0.6430817610062893
COVID-19_2022_LY-CoV488,antigen,,182,0.46272332637758457,0.7063953488372092
COVID-19_2022_WIBP-2B11,antigen,,191,0.28059693785054707,0.7621546961325967
EGFR_2013_Cetuximab,antibody,,659,0.40785930247828356,0.6550965360590573
HER2_2021_trastuzumab,antibody,,146,0.5322159844520823,0.6463273568536727
HIV_2016_VRC01,antigen,,679,0.48853695676419995,0.7131782945736433
HIV_2018_FP16-02,antigen,,608,0.4094504646109762,0.9279085369262593
HIV_2018_FP20-01,antigen,,665,0.3436637390054619,0.9298499114384264
HIV_2018_VRC34-01,antigen,,513,0.31079970487507097,0.5889274996051177
HIV_2019a_3BN-1074,antigen,,475,0.34831438448524354,0.7268569844789357
HIV_2019a_PG9,antigen,,437,0.2904541147382333,0.7843373493975904
HIV_2019a_PGT121,antigen,,399,0.3253587287276023,0.7172163588390501
HIV_2019a_PGT145,antigen,,304,0.12382851061744732,0.662109375
HIV_2019a_PGT151,antigen,,817,0.20491257463700988,0.710790168468695
HIV_2019b_106E6,antigen,,551,0.1691278926172398,0.6473982518437584
HIV_2019b_17D4,antigen,,475,0.4960815650280011,0.778039541759054
HIV_2019b_DF1W314,antigen,,722,0.3411344544301241,0.7559676464785954
HIV_2019b_OPV12,antigen,,532,0.46504570948156543,0.9138980564723138
HIV_2019b_OPV20,antigen,,570,0.23172547252097422,0.6577857097329339
HIV_2023_1-18,antigen,,690,0.32196649115350173,0.7527808069792803
Influenza_2018_C179,antigen,,855,0.21699099085297802,0.5369028525604308
Influenza_2018_FI6V,antigen,,703,0.31797053365095246,0.45454356155255704
Influenza_2018_S139,antigen,,741,0.1636723558381308,0.9069776147338474
Influenza_2020_FI6V3-H3,antigen,,513,0.02883214258110989,0.6140420154793871
LAMP-1_2023_FAB-B,antigen,,399,0.5599499135314819,0.6243333333333334
Lassa_2024_121F,antigen,,482,0.13450033565702788,0.6694967177242888
Lassa_2024_256A,antigen,,1257,0.12849381885631117,0.6940256839754327
Lassa_2024_372D,antigen,,967,0.08669088531834915,0.44791249833266633
Lassa_2024_377H,antigen,,1346,0.19249083805369066,0.8088925711129522
Lassa_2024_89F,antigen,,412,0.3187062124918728,0.5360492022896115
NGF_2018_tanezumab,antigen,,904,0.2462953448059031,0.5821298266950441
Nipah_2024_HENV26,antigen,,1144,-0.1363101261053641,0.7567473169492601
Nipah_2024_HENV32,antigen,,814,-0.04340242568972526,0.7935190736124695
Nipah_2024_m102-4,antigen,,1016,0.019947860488635262,0.5943817941684446
Nipah_2024_nAH1-3,antigen,,836,0.5421584921309311,0.9266222861940746
VEGF_2017b_G6,antibody,,513,0.5473529770096364,0.7049611476389719
lysozyme_2019_D441,antibody,,627,0.25959952486613275,0.5652573529411764
zika_2023_EDE1-C10,antigen,,1501,0.09743780505109688,0.49824099722991694
zika_2023_MZ4,antigen,,741,0.3329674061056075,0.7129033465598563
zika_2023_ZV-67,antigen,,570,0.34367975330647227,0.7341449423162726
